grupo;ano;total_vinculos_formal_informal;participacao_pct
Economia Criativa;2015;2633063;0.03360971224686017
Economia Criativa;2016;2543252;0.03378206964582777
Economia Criativa;2017;2656733;0.03412449228775759
Economia Criativa;2018;2679183;0.03373655394554158
Economia Criativa;2019;2708050;0.03393934669467823
Economia Criativa;2020;2550861;0.03375248101200401
Economia Criativa;2021;2817072;0.03460317389346804
Economia Criativa;2022;3191913;0.03570558559645742
Economia Criativa;2023;3322190;0.03526041345660385
Economia Criativa;2024;3427912;0.03523075989869478
