grupo;ano;taxa_informalidade
Economia Criativa;2015;0.40331116545516443
Economia Criativa;2016;0.4112585718287997
Economia Criativa;2017;0.4474830535099556
Economia Criativa;2018;0.446718223131993
Economia Criativa;2019;0.4379609329050376
Economia Criativa;2020;0.41227654718950535
Economia Criativa;2021;0.42547295139621133
Economia Criativa;2022;0.4322662129613839
Economia Criativa;2023;0.44504047642435773
Economia Criativa;2024;0.4459393572792909
Brasil;2015;0.38652820349265293
Brasil;2016;0.38818142311672327
Brasil;2017;0.4055346347488736
Brasil;2018;0.41281609635598104
Brasil;2019;0.41451331821014586
Brasil;2020;0.38821219103461013
Brasil;2021;0.4014446237421449
Brasil;2022;0.4094889218499642
Brasil;2023;0.4075784996935865
Brasil;2024;0.4060614962257874
