grupo;ano;total_vinculos
Agricultura;2016;1483211
Agricultura;2017;1506245
Agricultura;2018;1497914
Agricultura;2019;1473795
Agricultura;2020;1466390
Agricultura;2021;1531816
Agricultura;2022;1751420
Agricultura;2023;1783523
Agricultura;2024;1801461
Agricultura;2025;1834199
Construção Civil;2016;2122335
Construção Civil;2017;1961791
Construção Civil;2018;1977182
Construção Civil;2019;1987390
Construção Civil;2020;2111806
Construção Civil;2021;2313533
Construção Civil;2022;2667369
Construção Civil;2023;2849030
Construção Civil;2024;2945800
Construção Civil;2025;3021524
Economia Criativa;2016;1497318
Economia Criativa;2017;1467890
Economia Criativa;2018;1482343
Economia Criativa;2019;1522030
Economia Criativa;2020;1499201
Economia Criativa;2021;1618484
Economia Criativa;2022;1812157
Economia Criativa;2023;1843681
Economia Criativa;2024;1899271
Economia Criativa;2025;1942497
Indústria Extrativa;2016;221331
Indústria Extrativa;2017;212337
Indústria Extrativa;2018;212629
Indústria Extrativa;2019;222260
Indústria Extrativa;2020;227666
Indústria Extrativa;2021;243993
Indústria Extrativa;2022;256129
Indústria Extrativa;2023;269786
Indústria Extrativa;2024;280951
Indústria Extrativa;2025;291006
